PI ID,POP,Status,Fan 1,Fan 2,Fan 3,Fan 4
832,AGGP026,success,50.00,50.00,50.00,0.00
836,AGGP022,success,48.00,48.00,56.00,0.00
835,AGGP056,success,48.00,48.00,48.00,0.00
833,AGGP017,success,48.00,49.00,48.00,0.00
837,AGGP051,success,50.00,49.00,50.00,0.00
