PI ID,POP,Status,Fan 1,Fan 2,Fan 3,Fan 4
832,AGGP026,success,50.00,50.00,50.00,0.00
833,AGGP017,success,48.00,49.00,48.00,0.00
837,AGGP051,success,50.00,49.00,50.00,0.00
835,AGGP056,success,48.00,48.00,48.00,0.00
836,AGGP022,success,48.00,48.00,56.00,0.00
842,AGGP006,success,52.00,56.00,52.00,0.00
838,AGGP010,success,48.00,48.00,48.00,0.00
841,AGGP005,success,51.00,51.00,48.00,0.00
843,AGGP008,success,52.00,50.00,49.00,0.00
839,AGGP004,success,48.00,48.00,48.00,0.00
