POP,Fan 1,Fan 2,Fan 3,Fan 4
HCMP552,50,50,51,0
HCMP611,49,49,49,0
HCMP468,49,49,49,0
HCMP529,41,40,39,0
HCMP657,48,48,48,0
HCMP648,53,48,49,0
HCMP462,48,48,49,0
HCMP463,55,41,37,0
HCMP585,50,50,50,0
HCMP453,47,46,48,0
HCMP434,47,47,46,0
HCMP118,35,49,34,0
HCMP512,50,33,50,0
HCMP540,41,42,45,0
HCMP563,51,50,50,0
HCMP571,40,50,42,0
HCMP472,47,48,46,0
HCMP504,41,48,49,0
HCMP575,49,49,49,0
HCMP541,48,49,48,0
HCMP649,53,54,49,0
HCMP503,49,41,49,0
HCMP419,47,46,44,0
HCMP551,46,41,43,0
HCMP547,0,0,0,0
HCMP500,48,48,50,0
HCMP596,63,58,59,0
HCMP178,50,50,50,0
HCMP620,51,52,52,0
HCMP053,48,49,48,0
HCMP661,49,48,48,0
HCMP535,47,47,47,0
HCMP051,50,49,50,0
HCMP632,48,49,53,0
HCMP067,45,45,47,0
HCMP494,51,51,51,0
HCMP545,0,0,0,0
HCMP554,41,42,42,0
HCMP598,45,39,43,0
HCMP584,50,50,50,0
HCMP484,49,49,48,0
HCMP530,47,47,47,0
HCMP480,47,48,48,0
HCMP458,48,49,48,0
HCMP525,47,48,48,0
HCMP633,55,53,52,0
HCMP605,51,50,51,0
HCMP485,46,47,50,0
HCMP699,50,50,50,0
HCMP564,0,0,0,0
HCMP452,44,45,44,0
HCMP532,46,47,47,0
HCMP528,52,51,50,0
HCMP537,49,48,49,0
HCMP489,49,49,49,0
HCMP631,49,49,49,0
HCMP482,51,49,50,0
HCMP527,49,50,50,0
HCMP466,48,48,48,0
HCMP035,49,50,49,0
HCMP404,49,49,47,0
HCMP536,44,43,43,0
HCMP651,48,48,48,0
HCMP558,48,50,49,0
HCMP533,46,47,47,0
HCMP682,0,48,48,0
HCMP486,47,42,45,45
HCMP556,51,50,50,0
HCMP599,64,48,48,0
HCMP520,51,51,51,0
HCMP522,48,49,48,0
HCMP606,49,50,49,0
HCMP574,53,51,52,0
HCMP523,54,53,53,0
CMUP016,0,0,0,0
