POP,Fan 1,Fan 2,Fan 3,Fan 4
HNIP412,55,56,55,0
HNIP246,48,48,48,0
HCMP160,49,49,49,0
TGGP011,55,55,55,0
BDHP055,55,56,56,0
STGP042,79,79,79,0
BNHP035,47,47,47,0
HNIP474,48,48,48,0
HNIP697,0,0,0,0
HNIP753,0,0,0,0
HNIP718,0,0,0,0
HNIP482,0,0,0,0
HNIP470,47,47,47,0
HCMP713,55,55,56,0
QBHP024,0,0,0,0
CTOP056,51,50,50,0
HCMP603,43,43,44,0
HNIP462,54,55,53,0
DNGP129,46,49,46,0
BNHP036,48,47,48,0
HNIP465,77,78,77,0
CTOP038,47,48,58,0
BDGP058,48,49,49,0
BTNP056,58,58,58,0
DNIP040,56,56,56,0
DNGP052,47,47,49,0
DNGP127,50,50,50,0
BDGP064,57,57,57,0
HNIP322,44,44,45,0
HNIP138,49,49,49,0
HNIP726,54,55,54,0
BDHP056,44,45,43,45
DNGP158,0,0,0,0
NTGP028,70,72,71,0
BDGP110,52,53,52,0
DNIP114,56,57,56,0
HCMP549,47,46,46,46
HCMP010,56,56,56,0
HCMP705,56,55,55,0
HPGP101,49,49,49,0
HNIP717,0,0,0,0
BGGP050,0,0,0,0
HNIP532,55,55,56,0
DNIP023,57,57,56,0
HNIP678,43,44,43,0
HNIP733,0,0,0,0
DTPP021,52,53,52,0
BDGP020,55,56,56,0
DBNP002,73,72,72,0
HNIP614,49,49,49,0
HNIP430,48,48,49,0
HNIP754,48,48,48,0
BDGP116,57,56,56,0
BDGP115,57,58,57,0
HNIP742,0,0,0,0
DNGP100,48,49,49,0
HCMP527,61,60,61,0
DKGP002,76,76,76,0
HNIP414,0,0,0,0
HNIP070,0,0,0,0
HNIP258,0,0,0,0
BGGP034,0,0,0,0
TQGP011,0,0,0,0
HNIP389,0,0,0,0
NBHP001,0,0,0,0
AGGP055,49,48,48,0
BDGP114,57,57,56,0
TGGP016,49,49,49,0
TNHP055,52,53,52,0
HNIP217,0,0,0,0
HNIP721,46,46,47,0
HNIP226,49,48,49,0
LDGP003,0,0,0,0
HNIP698,49,48,48,0
LDGP011,0,0,0,0
LANP048,43,44,43,0
BTNP057,57,57,57,0
BDHP059,44,43,44,0
DNIP123,56,56,56,0
HNIP477,54,53,54,0
